"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"160462","验证AI支持查询粒度流程-指标","指标开发-AI取数","AI取数支持解析查询粒度","1、存在派生指标：个人存款余额（日粒度，可汇总）、当月个人存款保证金（月粒度，不可汇总）

2、存在自定义指标：个人消费金额（不可汇总）；

3、存在取数模版-客户存款数据，勾选汇总，包含指标：个人存款余额；
存在取数模版-客户流水数据，不勾选汇总，包含指标：个人存款余额、个人消费金额；","1. 提问问题明确粒度：汇总，且指标支持汇总。如：“查询7月个人存款总余额”
2. 提问问题明确粒度：汇总，且指标不支持汇总。如：“查询7月个人消费金额”
3. 提问问题明确粒度：日，且指标支持汇总。如：“查询7月个人存款日余额”
4. 提问问题明确粒度：日，且指标不支持汇总。如：“查询7月每日的个人消费金额”
5. 提问问题不明确粒度解析，且指标支持汇总。如：“查询个人存款余额”
6. 提问问题不明确粒度解析，且指标不支持汇总。如：“查询个人消费金额”","1. AI返回查询粒度：汇总
2. AI返回查询粒度：日
3. AI返回查询粒度：日
4. AI返回查询粒度：日
5. AI返回查询粒度：汇总
6. AI返回查询粒度：日","1","功能测试"
"160461","验证AI支持查询粒度解析流程-取数模版","指标开发-AI取数","AI取数支持解析查询粒度","1、存在派生指标：个人存款余额（日粒度，可汇总）、当月个人存款保证金（月粒度，不可汇总）

2、存在自定义指标：个人消费金额（不可汇总）；

3、存在取数模版-客户存款数据，勾选汇总，包含指标：个人存款余额；
存在取数模版-客户流水数据，不勾选汇总，包含指标：个人存款余额、个人消费金额；","1. 提问问题明确粒度：汇总，且模版配置汇总。如：“查询7月客户存款情况”
2. 提问问题明确粒度：汇总，且模版配置不汇总。如：“查询7月客户流水情况”
3. 提问问题明确粒度：日，且模版配置汇总。如：“查询7月每日的客户存款情况”
4. 提问问题明确粒度：日，且模版配置不汇总。如：“查询7月每日的客户流水情况”
5. 提问问题不明确粒度解析，且模版配置支持汇总。如：“查询客户存款情况”
6. 提问问题不明确粒度解析，且模版配置不支持汇总。如：“查询客户流水情况”","1. AI返回查询粒度：汇总，取模版配置
2. AI返回查询粒度：日，取模版配置
3. AI返回查询粒度：汇总，取模版配置
4. AI返回查询粒度：日，取模版配置
5. AI返回查询粒度：汇总，取模版配置
6. AI返回查询粒度：日，取模版配置","2","功能测试"
"160460","验证AI编辑查询粒度","指标开发-AI取数","AI取数支持解析查询粒度","1、存在派生指标：个人存款余额（日粒度，可汇总）、当月个人存款保证金（月粒度，不可汇总）

2、存在自定义指标：个人消费金额（不可汇总）；

3、存在取数模版-客户存款数据，勾选汇总，包含指标：个人存款余额；
存在取数模版-客户流水数据，不勾选汇总，包含指标：个人存款余额、个人消费金额；","1. 智能分析-点击新增对话
2. 输入问题：“查6月个人存款余额”
3. 判断问题是否与指标相关
4. AI分析需要进行自助取数
5. AI工作流进入【分析查询规则】
6. 判断数据呈现形式
7. 自助取数的情况下，判断结果为表格
8. 点击编辑
9. 修改日粒度为日，点击查询
10. 再次修改日粒度为汇总，点击查询","1. 页面展示默认配置，左侧列表展示暂无对话
2. AI工作流进入【分析用户诉求】
3. AI工作流进入【检索指标】
4. 需要进行自助取数，AI工作流进入【分析查询规则】
5. 填充条件：
查询日期：（6.1-6.30）；
查询粒度：日；
查询指标：个人存款余额；
查询维度：默认不填充；
筛选条件：/；
衍生条件：/。
AI工作流进入【判断数据呈现形式】
6. AI工作流进入【查询数据】
7. 问答助手返回自助取数功能点：
查询条件：日期（6.1-6.30），日粒度：汇总，指标（个人存款余额），维度（空），筛选条件，衍生条件：/；
查询结果：结果汇总，自助取数查询成功，返回正确查询结果（最多展示1000条，分页，每页10条）；
功能按钮【下载查询结果】【查看查询sql】；
8. 编辑回显配置条件展示正确，查询条件：日期（6.1-6.30），日粒度汇总，指标（个人存款余额），维度（空），筛选条件；
9. 查询成功；查询结果：结果不汇总，自助取数查询成功，返回正确查询结果（最多展示1000条，分页，每页10条）；
功能按钮【下载查询结果】【查看查询sql】；
10. 查询成功；查询结果：结果不汇总，自助取数查询成功，返回正确查询结果（最多展示1000条，分页，每页10条）；
功能按钮【下载查询结果】【查看查询sql】；","2","功能测试"
"160459","验证编辑指标联动AI解析粒度结果","指标开发-AI取数","AI取数支持解析查询粒度","1、存在派生指标：个人存款余额（日粒度，可汇总）、当月个人存款保证金（月粒度，不可汇总）

2、存在自定义指标：个人消费金额（不可汇总）；

3、存在取数模版-客户存款数据，勾选汇总，包含指标：个人存款余额；
存在取数模版-客户流水数据，不勾选汇总，包含指标：个人存款余额、个人消费金额；","1. 智能分析，输入问题：“查询7月个人存款总余额：
2. 指标中心-指标定义，编辑派生指标，修改个人存款余额统计周期为月日度
3. 智能分析，输入问题：“查询7月个人存款总余额：
4. 再次输入问题：“查询客户存款情况如何”","1. AI返回查询粒度：汇总
2. 系统提示修改成功，页面显示修改后的最新内容
3. AI返回查询粒度：日，指标更新为不汇总
4. AI返回查询粒度：日，模版更新为不汇总，AI返回结果取模版配置","2","功能测试"
"160458","验证AI场景","指标开发-AI取数","AI取数支持解析查询粒度","无","1. 查询郴州市中，今年个人存款总金额大于1000的前十个人是谁
2. 查询万子璇7月份每日存款金额是多少
3. 金额最少的是哪天
4. 查询万子璇7月份账户流水情况如何
5. 今年个人支出金额最多的所属机构是哪个","1. AI 预期输出：
指标：个人存款金额
维度：客户名称
时间范围：2025-1-1 → 2025-12-31
查询粒度：汇总
筛选条件：机构名称等于郴州市
结果过滤：个人存款金额大于1000
衍生条件：前10
2. AI 预期输出：
指标：个人存款金额
维度：客户名称
时间范围：2025-7-1 → 2025-7-31
查询粒度：日
筛选条件：客户名称等于万子璇
结果过滤：/
衍生条件：/
3. AI 预期输出：
指标：个人存款金额
维度：/
时间范围：2025-7-1 → 2025-7-31
查询粒度：日
筛选条件：客户名称等于万子璇
结果过滤：/
衍生条件：后1
4. AI 预期输出：
指标：个人存款余额、个人消费金额
维度：客户名称
时间范围：2025-7-1 → 2025-7-31
查询粒度：日
筛选条件：客户名称等于万子璇
结果过滤：/
5. AI 预期输出：
指标：个人消费金额
维度：机构id
时间范围：2025-1-1 → 2025-12-31
查询粒度：日
筛选条件：/
衍生条件：前1","1","功能测试"
