"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"178333","验证查看注册到数据服务的历史API数据","指标开发-维度管理","API支持基于一个维度定义多个入参参数","1、当前项目已对接数据服务；
2、已创建：已注册状态的即席查询-API：${jx_api_01}，即注册到数据服务项目；
3、已创建：已注册状态的落表查询-API：${lb_api_02}；
4、进入到该项目内。","1. 进入指标应用-API服务-API管理页面，点击新增API按钮
2. 指标定义列表页面，点击即席查询-API：${jx_api_01}	名称，查看基本属性-基本信息-注册目标，点击注册目标，跳转到数据服务项目内，查看API详情-参数配置-输入参数
3. 指标定义列表页面，点击落表查询-API：${lb_api_02}名称，查看基本属性-基本信息-注册目标，点击注册目标，跳转到数据服务项目内，查看服务编排详情信息-参数配置-输入参数","1. 成功进入指标应用-API服务-API管理页面，点击新增API按钮页面，页面内容正常加载显示，无报错
2. 参数名默认值为空，展示：--
3. t 参数默认值是否展示：不展示；pageNo，pageSize默认值：展示空","2","功能测试"
"178332","验证查看未注册到数据服务的历史API数据","指标开发-维度管理","API支持基于一个维度定义多个入参参数","1、当前项目未对接数据服务；
2、已创建即席查询-API：${jx_api_01}	；
3、已创建落表查询-API：${lb_api_02}；
4、进入到该项目内。","1. 进入指标应用-API服务-API管理页面，点击新增API按钮
2. 指标定义列表页面，点击即席查询-API：${jx_api_01}	名称，查看接口信息-输入参数
3. 指标定义列表页面，点击落表查询-API：${lb_api_02}	名称，查看接口信息-输入参数","1. 成功进入指标应用-API服务-API管理页面，点击新增API按钮页面，页面内容正常加载显示，无报错
2. 必填项列后增加默认值栏，信息为空，pageNo 默认值展示：1，pageSize默认值展示：20，其余输入参数默认值展示：--
3. 必填项列后不展示默认值栏","2","功能测试"
"178331","验证编辑即席查询API默认值/必填项功能","指标开发-维度管理","API支持基于一个维度定义多个入参参数","1、当前项目下创建：已发布状态的自定义指标：${zdy_index}，维度字段：用户/城市（varchar）、用户/年龄(维度属性标识：age，字段int类型)、用户/性别(bool)、用户/下单日期（date）、用户/消费时间（datetime）；

2、使用自定义指标${zdy_index}创建并保存即席查询API  ${API_name}：
入参维度全选，出参维度全选
入参包括：
用户/城市 操作符选择：in，必填项 选中，默认值输入：杭州
用户/年龄 操作符选择：<=， 必填项未选中，默认值为空
用户/年龄 copy 操作符选择：>， 必填项选中，默认值30
用户/性别 操作符选择：=，必填项选中，默认值为空
用户/下单日期 操作符选择：>=，必填项未选中，默认值输入：20260111
用户/消费时间  操作符选择：区间，必填项选中，默认值输入：2026-01-12


3、当前项目未对接数据服务。","1. 进入指标应用-API服务-API管理页面，点击编辑API${API_name}、点击下一步
2. 必填项列： 用户/城市 取消选中
用户/年龄    选中
默认值列：  用户/城市   默认值修改为： 上海
用户/年龄    默认值输入：50
用户/下单日期  默认值置空
3. 点击下一步，点击保存
4. 点击指标API名称，查看API详情-接口信息，查看输入参数详细信息
5. 根据Request和Headers信息，Body中“inFields”参数中不传入：【用户/性别】参数，调用API
6. 根据Request和Headers信息，Body中“inFields”参数中传入：【用户/性别】：男，开始时间，结束时间，调用API","1. 进入编辑API-选择指标步骤，维度选中参数信息回显正确
2. 系统提示修改成功，页面显示修改后的最新内容
3. 保存API成功，跳转到API列表页面，列表统计数不变
4. 【用户/城市】参数 必填项更新为：非必填，默认值更新为：上海
【用户/年龄】参数  必填项更新为：必填，默认值更新为：50
【用户/下单日期】参数，默认值更新为：--
其他参数信息不变
5. API调用失败，失败原因有明细信息（eg：需要传入具体的参数）
6. API调用成功，查询SQL中会拼接：性别 = '男' and 年龄<=50 and 年龄 copy > 30 and 城市in（'上海'） and 下单日期>=20260111 and 消费时间>=2026-01-12 and 消费时间<=2026-01-12 and开始时间 及结束时间 范围","2","功能测试"
"178330","验证新增注册到数据服务的即席查询-API","指标开发-维度管理","API支持基于一个维度定义多个入参参数","1、项目对接的是starrocks引擎类型；
2、项目对接数据服务项目；
3、当前项目下创建：已发布状态的自定义指标：${zdy_index}，维度字段：用户/城市（varchar）、用户/年龄(维度属性标识：age，字段int类型)、用户/性别(bool)、用户/下单日期（date）、用户/消费时间（datetime）；","1. 进入指标应用-API服务-API管理页面，点击新增API按钮
2. 输入指标API名称：${API_name}，查询方式选择即席查询，点击下一步
3. 勾选指标：${zdy_index}
4. 入参维度全选，出参维度全选，用户/城市 操作符选择：in，必填项 选中，默认值输入：杭州，用户/年龄 操作符选择：<=， 必填项未选中，默认值为空，用户/性别 操作符选择：=，必填项选中，默认值为空，用户/下单日期 操作符选择：>=，必填项未选中，默认值输入：20260111，用户/消费时间 操作符选择：区间，必填项选中，默认值输入：2026-01-12
5. 复制：用户/年龄 维度字段，选中用户/年龄【复制】必填项，操作符设置：>，默认值输入：30，必填项选中，出参维度中选中：用户/年龄，点击下一步
6. 点击确定
7. 选中API${API_name}，点击注册
8. 点击确定
9. 点击即席查询-API：${API_name}	名称，查看基本属性-基本信息-注册目标，点击注册目标，跳转到数据服务项目内，查看API详情-参数配置-输入参数
10. 关闭详情滑窗，点击编辑按钮
11. 选择所属类目、API市场分类后点击下一步
12. 输入参数中不输入：【用户/性别】参数的参数值，点击开始测试
13. 输入参数中传入：【用户/城市】参数值：上海，【用户/性别】参数值：男，【用户/年龄】参数值：50，【用户/消费时间】Start字段输入：2026-01-12，【用户/消费时间】End字段输入：2026-01-12,开始时间，结束时间，点击开始测试
14. 点击完成
15. 提交API，根据测试内容的调用测试URL信息及API-TOKEN信息调用API，输入参数中传入：【用户/城市】参数值：上海，【用户/性别】参数值：男，【用户/年龄】参数值：50，【用户/消费时间】Start字段输入：2026-01-12，【用户/消费时间】End字段输入：2026-01-12,开始时间，结束时间。","1. 进入新增API页面成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入选择指标步骤
3. 维度选择列同步更新
4. 设置成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 跳转到生成API步骤
6. 生成API成功，跳转到API列表页面，列表统计数+1
7. 弹出二次确认弹窗
8. 系统提示注册成功，新账户/资源已创建，可正常使用
9. 【用户/城市】参数 操作符展示：in， 必填项展示：必填，默认值展示：杭州
【用户/年龄】参数 操作符展示：<=，必填项展示：非必填，默认值展示：--
【用户/年龄】copy参数 操作符展示：>，必填项展示：必填，默认值展示：30
【用户/性别】参数操作符展示：=，必填项展示：必填，默认值展示：--
【用户/下单日期】参数操作符展示：>=，必填项展示：非必填，默认值展示：20260111
【用户/消费时间】Start参数操作符展示：>=，必填项展示：必填，默认值展示：2026-01-12
【用户/消费时间】End参数操作符展示：<=，必填项展示：必填，默认值展示：2026-01-12
10. 进入编辑API页面
11. 进入测试步骤，输入参数中展示：【用户/年龄】copy字段，值展示默认值信息：30
【用户/下单日期】值展示默认值信息：20260111
【用户/消费】Start字段 值展示默认值信息：2026-01-12，【用户/消费】End字段 值展示默认值信息：2026-01-12
12. API调用失败，失败原因有明细信息（eg：需要传入具体的参数值）
13. API调用成功，查询SQL中会拼接：性别=男 and 城市=上海 and 年龄 <= 50 and 年龄_copy > 30 and 下单日期>=20260111 and 消费时间Start>=2026-01-12 and 消费时间End<=2026-01-12 and开始时间 及结束时间 范围
14. 编辑API成功，系统给出成功反馈，相关页面/数据状态更新为最新
15. API调用成功，查询SQL中会拼接：性别=男 and 城市=上海 and 年龄 <= 50 and 年龄_copy > 30 and 下单日期>=20260111 and 消费时间Start>=2026-01-12 and 消费时间End<=2026-01-12 and开始时间 及结束时间 范围","1","功能测试"
"178329","验证新增API-必填/默认值功能","指标开发-维度管理","API支持基于一个维度定义多个入参参数","1、当前项目下创建：已发布状态的自定义指标：${zdy_index}，维度字段：用户/城市（varchar）、用户/年龄(维度属性标识：age，字段int类型)、用户/性别(bool)、用户/下单日期（date）、用户/消费时间（datetime）；
2、当前项目未对接数据服务。","1. 进入指标应用-API服务-API管理页面，点击新增API按钮
2. 输入指标API名称：${API_name}，查询方式选择即席查询，点击下一步
3. 勾选指标：${zdy_index}，查看必填项，及默认值信息
4. 设置 【用户/年龄】默认值：年龄，点击下一步
5. 设置【用户/城市】默认值，长度超过999字符
6. 入参维度全选，出参维度全选，用户/城市 操作符选择：in，必填项 选中，默认值输入：杭州，用户/年龄 操作符选择：<=， 必填项未选中，默认值为空，用户/性别 操作符选择：=，必填项选中，默认值为空，用户/下单日期 操作符选择：>=，必填项未选中，默认值输入：20260111，用户/消费时间 操作符选择：区间，必填项未选中，默认值输入：2026-01-12
7. 复制：用户/年龄 维度字段，选中用户/年龄【复制】必填项，操作符设置：>，默认值输入：30，必填项选中，出参维度中选中：用户/年龄，点击下一步
8. 点击确定
9. 点击指标API名称，滑窗展示API详情-基本属性-数据调用信息
10. 切换到接口信息，查看输入参数详细信息
11. 根据Request和Headers信息，Body中“inFields”参数中不传入：【用户/性别】参数，调用API
12. 根据Request和Headers信息，Body中“inFields”参数中传入：【用户/城市】参数，值：南京，上海，【用户/性别】参数，值：男，【用户/年龄】参数，值：50，开始时间，结束时间，调用API","1. 进入新增API页面成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入选择指标步骤
3. 业务日期字段必填项选中，用户/城市、用户/年龄、用户/性别、用户/下单日期、用户/消费时间 必填项信息未选中；公共维度默认值字段全部为空
4. 不需要校验默认值填写的规范性
5. 页面提示：限制999字符
6. 设置成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 跳转到生成API步骤
8. 生成API成功，跳转到API列表页面，列表统计数+1
9. 入参维度中【用户/年龄】展示：(<=,>)
10. 增加默认值列，【用户/城市】参数 操作符展示：in， 必填项展示：必填，默认值展示：杭州【用户/年龄】参数 操作符展示：<=，必填项展示：非必填，默认值展示：--【用户/年龄】copy参数 操作符展示：>，必填项展示：必填，默认值展示：30【用户/性别】参数操作符展示：=，必填项展示：必填，默认值展示：--【用户/下单日期】参数操作符展示：>=，必填项展示：非必填，默认值展示：20260111【用户/消费时间】Start参数操作符展示：>=，必填项展示：非必填，默认值展示：2026-01-12【用户/消费时间】End参数操作符展示：<=，必填项展示：非必填，默认值展示：2026-01-12，pageNo 默认值展示：1，pageSize默认值展示：20
11. API调用失败，失败原因有明细信息（eg：需要传入具体的参数）
12. API调用成功，查询SQL中会拼接：城市 in ('南京','上海') and 性别=男 and 年龄 <= 50 and 年龄_copy > 30 and 下单日期>=20260111 and 消费时间>=2026-01-12 and 消费时间<=2026-01-12 and开始时间 及结束时间 范围","1","功能测试"
"178328","验证创建即席API-选择指标页面调整","指标开发-维度管理","API支持基于一个维度定义多个入参参数","1、当前项目下创建：已发布状态的派生指标：${ps_index}，维度字段：用户/城市（varchar）、用户/年龄(维度属性标识：age，字段int类型)、用户/性别(bool)、用户/下单日期（date）；
已发布状态的复合指标：${fh_index}，维度字段：用户/城市（varchar）、用户/年龄(int)、用户/性别(bool)、用户/下单日期（date）、用户/消费时间（datetime）","1. 进入指标应用-API服务-API管理页面，点击新增API按钮
2. 输入指标API名称：${API_name}，查询方式选择即席查询，点击下一步
3. 勾选指标：${ps_index}，查看维度选择列表信息
4. 选择维度：用户/年龄，点击复制
5. 全选出参维度，查看复制的【用户/年龄】维度
6. 复制的【用户/年龄】维度，勾选为入参维度
7. 校验入参名称-规范性：必填项、长度、格式
8. 输入：【用户/年龄】复制的入参名称与【用户/年龄】维度的维度属性标识一致：age","1. 进入新增API页面成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 进入选择指标步骤
3. 操作符列增加必填、默认值栏，出参维度后增加一列操作栏，支持复制,业务日期字段 必填项默认选中，不可取消勾选，其他字段 默认未选中
4. 当前字段下方增加一条相同维度信息，字段后增加【复制】标识，源维度对应的操作栏 复制 支持多次点击，复制标识对应的维度 操作栏 支持删除操作
5. 复制的维度不可选为出参维度
6. 展示入参名称文本输入框，必填，默认填充：维度属性标识_copy，维度属性标识_copy1，维度属性标识_copy2，维度属性标识_copy...
7. 为空时提示：请输入入参参数名称内容包含特殊字符时提示：限制输入字母、数字、下划线；长度超过64个字符时提示：限制64字符
8. 提示：入参名称重复（两个都提示）","2","功能测试"
