"用例编号","用例标题","所属模块","相关需求","前置条件","步骤","预期结果","优先级","用例类型"
"168729","验证历史属性类型为枚举的自定义属性","指标开发-指标市场","【指标市场-高级检索】枚举值需支持多选","1、当前项目内已创建自定义属性：${zdy_属性}，属性类型：枚举","1. 进入指标中心-指标开发-指标元数据-自定义属性页面
2. 查看列席自定义属性：${zdy_属性}属性类型
3. 进入编辑页面，查看属性类型
4. 增加选项内容，点击确定
5. 进入编辑指标-设置基本信息步骤，查看${zdy_属性}
6. 进入指标市场-指标高级搜索页面，查看${zdy_属性}操作符","1. 页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 展示：【枚举（单选）】
3. 展示：【枚举（单选）】，禁止修改
4. 编辑自定义属性成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 单选，支持清空
6. 展示：等于、不等于","2","功能测试"
"168728","验证新增自定义属性-属性类型增加「枚举（多选）」","指标开发-指标市场","【指标市场-高级检索】枚举值需支持多选","无","1. 进入指标中心-指标开发-指标元数据-自定义属性页面
2. 点击新增自定义属性按钮
3. 查看属性类型
4. 输入属性名称：${消费城市}，属性标识：${City}，属性类型：枚举(多选)，输入选项内容：杭州、北京、上海，是否必填：是，点击确定
5. 进入编辑指标-设置基本信息步骤，查看${消费城市}
6. 选中多个值域（杭州、北京、上海），点击保存并发布
7. 指标定义列表页面，点击指标名称，查看指标基本属性信息
8. 切换到版本变更页面，勾选最新版本与某个历史版本进行版本对比
9. 进入指标市场-指标高级搜索页面，查看${消费城市}属性操作符
10. 选择包含：杭州、北京，点击搜索
11. 选择不包含：上海，点击搜索
12. 选择包含：支持手动输入？杭
13. 进入指标市场-项目市场页面，点击指标名称，查看指标基本属性信息
14. 切换到版本变更页面，勾选最新版本与某个历史版本进行版本对比","1. 页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 弹窗进入新增自定义属性页面
3. 属性类型增加【枚举（多选）】，原来的【枚举】改为【枚举（单选）】
4. 新增自定义属性成功，页面自动跳转到自定义属性列表页面，统计数+1，属性类型展示：【枚举(多选)】
5. 支持多选，支持取消选中
6. 指标编辑成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. ${消费城市}按多选形式展示
8. 最新版本中的${消费城市}属性按多选形式展示
9. 操作符增加选项：包含、不包含，展示：等于、不等于、包含、不包含，右侧依旧是下拉框，选项不变
10. 根据${消费城市} 包含 杭州、北京 条件检索正确的指标列表
11. 根据${消费城市} 不包含 上海 条件检索正确的指标列表
12. 下拉列表展示杭州，选择杭州
根据${消费城市} 包含 杭州 条件检索正确的指标列表
13. ${消费城市}按多选形式展示
14. 最新版本中的${消费城市}属性按多选形式展示","1","功能测试"
"168727","验证删除属性类型为「枚举（多选）」的自定义属性","指标开发-指标市场","【指标市场-高级检索】枚举值需支持多选","1、当前项目内已创建自定义属性：${zdy_属性}，属性类型：枚举（多选）","1. 进入指标中心-指标开发-指标元数据-自定义属性页面
2. 选择${zdy_属性}，点击删除","1. 页面进入成功，系统给出成功反馈，相关页面/数据状态更新为最新
2. 删除自定义属性成功，系统给出成功反馈，相关页面/数据状态更新为最新","2","功能测试"
